Time,Greedy,INMA,No Charge
4780,7.63574031124113,4.54357207997449,4.56397927997444
4790,7.62880096724111,4.53182623997446,4.5513402399744
4800,7.62095298324108,4.52035119997442,4.53965199997437
4810,7.61243351924105,4.50813855997439,4.52772375997433
4820,7.60604707524102,4.49703231997435,4.51592431997429
4830,7.598594831241,4.48522847997432,4.50506687997426
4840,7.59106684724097,4.47338903997428,4.49210343997422
4850,7.58464324324095,4.46058559997424,4.47980639997418
4860,7.57742957924092,4.45131415997422,4.46742495997415
4870,7.57307288529055,4.44029671997419,4.45657631997412
4880,7.5683559047066,4.42995007997416,4.44535007997408
4890,7.56209454412264,4.41794623997413,4.43404383997405
4900,7.55717360183065,4.40576919997409,4.42165799997401
4910,7.55043283783063,4.39515615997406,4.40887215997397
4920,7.54503503383061,4.38434751997403,4.39694391997394
4930,7.53912574983059,4.37138847997399,4.38609527997391
4940,7.53190924583056,4.35958463997395,4.37644183997388
4950,7.52615712183055,4.34874039997392,4.36497119997385
4960,7.52103789783053,4.3381049599739,4.35370935997382
4970,7.5132313338305,4.32634111997386,4.34054591997377
4980,7.50747920983048,4.31428847997382,4.32899087997374
4990,7.50018554583046,4.30275103997379,4.3160762399737
5000,7.49293046183043,4.29087599997375,4.30397479997366
5010,7.4850838978304,4.28055615997373,4.29104255997362
5020,7.47956893383038,4.2705427199737,4.28013631997359
5030,7.47259100983036,4.26022727997367,4.26803927997355
5040,7.46533592583033,4.24725503997363,4.25735063997352
5050,7.4580808418303,4.23362519997359,4.24633759997349
5060,7.45081901896194,4.22294975997356,4.23499575997346
5070,7.44656802627854,4.21035951997352,4.22409391997343
5080,7.44045975359514,4.19752487997348,4.2136940799734
5090,7.43636876091174,4.18594743997344,4.20140143997336
5100,7.43085338822834,4.1738103999734,4.19154799997334
5110,7.42624665554494,4.16055815997336,4.18039735997331
5120,7.42140276286154,4.14859431997332,4.16627431997326
5130,7.41604597017814,4.1379900799733,4.15509247997323
5140,7.40990053749474,4.12605743997326,4.1441594399732
5150,7.40489948481134,4.11466679997323,4.13451919997317
5160,7.40009559212794,4.10253855997319,4.12317295997314
5170,7.39493737944454,4.08989951997315,4.11249751997311
5180,7.38886910676113,4.07810007997311,4.10056927997308
5190,7.38264225407773,4.06650503997308,4.08873863997304
5200,7.37704830139432,4.05527439997305,4.07875639997302
5210,7.37236440871093,4.04362175997301,4.06765455997298
5220,7.36653471602752,4.03201791997298,4.05595311997295
5230,7.36109934334412,4.02066727997295,4.04420247997291
5240,7.35530965066072,4.00864583997291,4.03280303997288
5250,7.34936137797731,3.99637999997286,4.02203879997285
5260,7.34368742529391,3.98540695997287,4.01111455997282
5270,7.33703936921552,3.97446511997288,4.00071471997279
5280,7.3318787252155,3.96236807997289,3.9909900799728
5290,7.32403216121547,3.95036863997291,3.98139863997281
5300,7.31740855721545,3.93856919997292,3.97016799997282
5310,7.31118211321543,3.92758735997293,3.95767095997283
5320,7.3047185092154,3.91727405904166,3.94528951997285
5330,7.29932212521539,3.9117326383068,3.93256167997286
5340,7.29214562121536,3.90606681757194,3.92074463997287
5350,7.28520627721534,3.89932139683708,3.91013159997288
5360,7.27716255321531,3.89101197610222,3.89931855997289
5370,7.27117326921529,3.88459535536736,3.8865239199729
5380,7.26455108521526,3.87772993463251,3.87299607997292
5390,7.25875896121524,3.86908291389765,3.86208543997293
5400,7.25249109721522,3.86330149316279,3.85062799997294
5410,7.2468161332152,3.85543647242794,3.83806895997295
5420,7.24075031261725,3.84885545169308,3.82526111997297
5430,7.2333838871224,3.84173683095822,3.81548327997298
5440,7.22736042162755,3.83453821022336,3.80260423997299
5450,7.22228559613271,3.82799718948851,3.791999999973
5460,7.21618497063786,3.82192256875365,3.78088935997301
5470,7.20988718514302,3.81402194801879,3.76908991997302
5480,7.20354797964817,3.80624572728394,3.75675287997304
5490,7.19748735415332,3.79967350654908,3.74598423997305
5500,7.19316400865849,3.79333248581422,3.73434479997306
5510,7.18619332316364,3.78547186507936,3.72055495997307
5520,7.18060559766879,3.7788064443445,3.70891551997309
